Image,EM_CSF,EM_WM,EM_GM
1003,0.0358277541155917,0.8185625598568782,0.5720838387764156
1004,0.41838649155722324,0.8965953216189697,0.933949660520061
1005,0.7476089003419396,0.8674991018943736,0.9212513388125451
1018,0.021450417293038204,0.8481615899261389,0.7706760524420374
1019,0.03925182680772167,0.8529242441444992,0.7995687108799331
1023,0.030250825924823116,0.8425938784579491,0.7100785387392079
1024,0.018297634465989265,0.8367666845863584,0.645175298848892
1025,0.7315214782817374,0.8620257122961692,0.9222214797212592
1038,0.02585249452929986,0.854622362430228,0.7809875926693743
1039,0.034078384989650816,0.815394533610906,0.6764028559625618
1101,0.549031904052677,0.8689950305110875,0.9231042690491021
1104,0.026659200846126326,0.842778518099341,0.8513675157309222
1107,0.07796416526601413,0.8238647496902228,0.7781022489445766
1110,0.3176470588235294,0.9092515172605113,0.941743424836403
1113,0.0,0.7948932869918758,0.885497036921587
1116,0.7435113543435868,0.8619048550398665,0.9183580452728175
1119,0.8229226922888377,0.7857273784246277,0.8860797900480275
1122,0.6422005762107285,0.8722479458582497,0.9163151352873612
1125,0.7586373603605159,0.8352841238501286,0.8991380913995164
1128,0.2952602056266132,0.7024890371193873,0.7480346541271851
